Feature,Score
TOTBSQ,1
TOTUSJZ,1
SAVNCPP,1
USFLUX,1
MEANPOT,1
MEANJZH,1
TOTFY,1
MEANJZD,1
TOTFX,1
EPSY,1
EPSX,1
R_VALUE,1
SHRGT45,2
ABSNJZH,3
MEANSHR,4
TOTUSJH,5
MEANGAM,6
MEANGBH,7
MEANALP,8
TOTPOT,9
MEANGBT,10
TOTFZ,11
MEANGBZ,12
EPSZ,13
