Feature,Score
TOTBSQ,1
TOTPOT,1
TOTUSJZ,1
USFLUX,1
SHRGT45,1
MEANJZH,1
TOTFY,1
MEANJZD,1
MEANALP,1
TOTFX,1
EPSX,1
R_VALUE,1
MEANSHR,2
SAVNCPP,3
EPSY,4
ABSNJZH,5
MEANPOT,6
MEANGBZ,7
MEANGBH,8
MEANGBT,9
EPSZ,10
TOTUSJH,11
MEANGAM,12
TOTFZ,13
