Feature,Rank
TOTBSQ_SKEW,1
TOTPOT_MEDIAN,1
TOTPOT_MAX,1
TOTPOT_KURTOSIS,1
TOTUSJZ_SKEW,1
ABSNJZH_KURTOSIS,1
SAVNCPP_MEAN,1
SAVNCPP_MEDIAN,1
SAVNCPP_MAX,1
TOTFZ_MEAN,1
MEANPOT_MEDIAN,1
EPSZ_MIN,1
MEANSHR_MEAN,1
MEANSHR_KURTOSIS,1
MEANGAM_KURTOSIS,1
MEANGBT_MEAN,1
MEANGBT_KURTOSIS,1
MEANGBH_MAX,1
MEANGBH_STDDEV,1
MEANJZH_MEDIAN,1
MEANJZH_KURTOSIS,1
TOTFY_MIN,1
EPSX_MEAN,1
