Feature,Score,Rank
EPSX,0.051367887,1
MEANJZH,0.036408274,2
USFLUX,0.019281211,3
TOTUSJH,0,4
TOTBSQ,0,4
TOTPOT,0,4
TOTUSJZ,0,4
ABSNJZH,0,4
SAVNCPP,0,4
TOTFZ,0,4
MEANPOT,0,4
EPSZ,0,4
MEANSHR,0,4
SHRGT45,0,4
MEANGAM,0,4
MEANGBT,0,4
MEANGBZ,0,4
MEANGBH,0,4
TOTFY,0,4
MEANJZD,0,4
MEANALP,0,4
TOTFX,0,4
EPSY,0,4
R_VALUE,0,4
