Feature,Score
TOTUSJH_MIN,1
TOTUSJH_MAX,1
TOTBSQ_MEDIAN,1
TOTBSQ_STDDEV,1
TOTBSQ_KURTOSIS,1
TOTPOT_MIN,1
TOTPOT_MEAN,1
TOTPOT_MEDIAN,1
TOTPOT_MAX,1
TOTPOT_SKEW,1
TOTUSJZ_MIN,1
TOTUSJZ_MEDIAN,1
TOTBSQ_MAX,9
TOTBSQ_MIN,19
TOTUSJH_KURTOSIS,20
TOTBSQ_MEAN,21
TOTPOT_STDDEV,24
TOTUSJH_MEAN,40
TOTUSJH_STDDEV,41
TOTPOT_KURTOSIS,43
TOTUSJH_MEDIAN,46
TOTBSQ_SKEW,61
TOTUSJH_SKEW,63
TOTUSJZ_MEAN,84
